qid,system,score,rank
143,bge_m3_hybrid_315,0.3333333333333333,3
144,bge_m3_hybrid_315,1.0,1
145,bge_m3_hybrid_315,1.0,1
147,bge_m3_hybrid_315,1.0,1
148,bge_m3_hybrid_315,0.0,27
153,bge_m3_hybrid_315,0.2,5
154,bge_m3_hybrid_315,0.0,19
155,bge_m3_hybrid_315,0.0,22
156,bge_m3_hybrid_315,1.0,1
157,bge_m3_hybrid_315,0.0,79
158,bge_m3_hybrid_315,0.0,-1
160,bge_m3_hybrid_315,0.0,-1
161,bge_m3_hybrid_315,0.25,4
162,bge_m3_hybrid_315,0.0,6
164,bge_m3_hybrid_315,1.0,1
165,bge_m3_hybrid_315,1.0,1
167,bge_m3_hybrid_315,0.0,-1
168,bge_m3_hybrid_315,1.0,1
170,bge_m3_hybrid_315,1.0,1
172,bge_m3_hybrid_315,0.25,4
173,bge_m3_hybrid_315,1.0,1
174,bge_m3_hybrid_315,1.0,1
175,bge_m3_hybrid_315,0.0,-1
176,bge_m3_hybrid_315,0.0,85
177,bge_m3_hybrid_315,1.0,1
178,bge_m3_hybrid_315,1.0,1
180,bge_m3_hybrid_315,1.0,1
181,bge_m3_hybrid_315,1.0,1
182,bge_m3_hybrid_315,0.0,7
184,bge_m3_hybrid_315,0.0,-1
185,bge_m3_hybrid_315,0.0,-1
186,bge_m3_hybrid_315,0.0,10
187,bge_m3_hybrid_315,0.0,81
188,bge_m3_hybrid_315,1.0,1
189,bge_m3_hybrid_315,0.0,35
190,bge_m3_hybrid_315,0.0,-1
191,bge_m3_hybrid_315,1.0,1
193,bge_m3_hybrid_315,1.0,1
194,bge_m3_hybrid_315,0.0,30
195,bge_m3_hybrid_315,0.0,8
197,bge_m3_hybrid_315,1.0,1
199,bge_m3_hybrid_315,1.0,1
200,bge_m3_hybrid_315,0.0,25
202,bge_m3_hybrid_315,0.0,-1
203,bge_m3_hybrid_315,0.0,-1
204,bge_m3_hybrid_315,0.0,26
205,bge_m3_hybrid_315,1.0,1
208,bge_m3_hybrid_315,0.5,2
209,bge_m3_hybrid_315,0.5,2
210,bge_m3_hybrid_315,0.0,53
211,bge_m3_hybrid_315,0.0,-1
212,bge_m3_hybrid_315,0.25,4
213,bge_m3_hybrid_315,1.0,1
214,bge_m3_hybrid_315,1.0,1
217,bge_m3_hybrid_315,0.0,-1
218,bge_m3_hybrid_315,1.0,1
219,bge_m3_hybrid_315,1.0,1
220,bge_m3_hybrid_315,0.5,2
222,bge_m3_hybrid_315,1.0,1
223,bge_m3_hybrid_315,1.0,1
225,bge_m3_hybrid_315,0.0,22
226,bge_m3_hybrid_315,1.0,1
227,bge_m3_hybrid_315,1.0,1
228,bge_m3_hybrid_315,1.0,1
229,bge_m3_hybrid_315,0.3333333333333333,3
230,bge_m3_hybrid_315,1.0,1
231,bge_m3_hybrid_315,0.25,4
232,bge_m3_hybrid_315,1.0,1
233,bge_m3_hybrid_315,1.0,1
234,bge_m3_hybrid_315,1.0,1
236,bge_m3_hybrid_315,0.25,4
237,bge_m3_hybrid_315,0.0,-1
238,bge_m3_hybrid_315,1.0,1
239,bge_m3_hybrid_315,1.0,1
240,bge_m3_hybrid_315,0.5,2
241,bge_m3_hybrid_315,1.0,1
242,bge_m3_hybrid_315,1.0,1
243,bge_m3_hybrid_315,1.0,1
245,bge_m3_hybrid_315,0.0,16
246,bge_m3_hybrid_315,0.0,-1
247,bge_m3_hybrid_315,0.0,-1
249,bge_m3_hybrid_315,0.0,7
250,bge_m3_hybrid_315,1.0,1
251,bge_m3_hybrid_315,1.0,1
252,bge_m3_hybrid_315,1.0,1
253,bge_m3_hybrid_315,1.0,1
255,bge_m3_hybrid_315,1.0,1
256,bge_m3_hybrid_315,0.0,-1
257,bge_m3_hybrid_315,0.0,-1
258,bge_m3_hybrid_315,0.0,8
260,bge_m3_hybrid_315,1.0,1
261,bge_m3_hybrid_315,0.0,20
262,bge_m3_hybrid_315,0.0,-1
263,bge_m3_hybrid_315,1.0,1
264,bge_m3_hybrid_315,1.0,1
265,bge_m3_hybrid_315,1.0,1
266,bge_m3_hybrid_315,1.0,1
268,bge_m3_hybrid_315,1.0,1
269,bge_m3_hybrid_315,0.0,-1
270,bge_m3_hybrid_315,0.5,2
271,bge_m3_hybrid_315,0.0,11
272,bge_m3_hybrid_315,1.0,1
273,bge_m3_hybrid_315,1.0,1
274,bge_m3_hybrid_315,1.0,1
275,bge_m3_hybrid_315,0.0,8
276,bge_m3_hybrid_315,0.0,-1
277,bge_m3_hybrid_315,1.0,1
278,bge_m3_hybrid_315,1.0,1
282,bge_m3_hybrid_315,1.0,1
283,bge_m3_hybrid_315,1.0,1
284,bge_m3_hybrid_315,0.0,14
287,bge_m3_hybrid_315,1.0,1
289,bge_m3_hybrid_315,0.0,-1
290,bge_m3_hybrid_315,1.0,1
291,bge_m3_hybrid_315,0.5,2
293,bge_m3_hybrid_315,0.25,4
294,bge_m3_hybrid_315,0.0,-1
296,bge_m3_hybrid_315,0.0,71
297,bge_m3_hybrid_315,0.0,57
298,bge_m3_hybrid_315,1.0,1
299,bge_m3_hybrid_315,1.0,1
300,bge_m3_hybrid_315,0.25,4
301,bge_m3_hybrid_315,1.0,1
303,bge_m3_hybrid_315,0.0,11
305,bge_m3_hybrid_315,1.0,1
307,bge_m3_hybrid_315,1.0,1
309,bge_m3_hybrid_315,1.0,1
310,bge_m3_hybrid_315,0.5,2
311,bge_m3_hybrid_315,0.0,-1
312,bge_m3_hybrid_315,1.0,1
313,bge_m3_hybrid_315,1.0,1
314,bge_m3_hybrid_315,0.5,2
315,bge_m3_hybrid_315,1.0,1
316,bge_m3_hybrid_315,0.0,13
317,bge_m3_hybrid_315,1.0,1
319,bge_m3_hybrid_315,1.0,1
320,bge_m3_hybrid_315,0.0,-1
321,bge_m3_hybrid_315,0.0,-1
322,bge_m3_hybrid_315,1.0,1
324,bge_m3_hybrid_315,1.0,1
325,bge_m3_hybrid_315,0.5,2
326,bge_m3_hybrid_315,0.0,-1
327,bge_m3_hybrid_315,1.0,1
328,bge_m3_hybrid_315,1.0,1
329,bge_m3_hybrid_315,1.0,1
330,bge_m3_hybrid_315,0.5,2
332,bge_m3_hybrid_315,1.0,1
333,bge_m3_hybrid_315,0.0,-1
334,bge_m3_hybrid_315,0.25,4
335,bge_m3_hybrid_315,1.0,1
336,bge_m3_hybrid_315,0.0,6
337,bge_m3_hybrid_315,0.0,-1
338,bge_m3_hybrid_315,0.0,15
339,bge_m3_hybrid_315,0.0,-1
340,bge_m3_hybrid_315,1.0,1
341,bge_m3_hybrid_315,1.0,1
344,bge_m3_hybrid_315,0.0,70
346,bge_m3_hybrid_315,0.0,19
347,bge_m3_hybrid_315,1.0,1
348,bge_m3_hybrid_315,1.0,1
349,bge_m3_hybrid_315,0.0,40
350,bge_m3_hybrid_315,0.0,6
351,bge_m3_hybrid_315,1.0,1
353,bge_m3_hybrid_315,1.0,1
354,bge_m3_hybrid_315,0.0,21
355,bge_m3_hybrid_315,0.2,5
356,bge_m3_hybrid_315,1.0,1
357,bge_m3_hybrid_315,0.0,7
358,bge_m3_hybrid_315,1.0,1
360,bge_m3_hybrid_315,0.0,-1
361,bge_m3_hybrid_315,0.3333333333333333,3
362,bge_m3_hybrid_315,1.0,1
363,bge_m3_hybrid_315,1.0,1
364,bge_m3_hybrid_315,0.0,27
365,bge_m3_hybrid_315,1.0,1
366,bge_m3_hybrid_315,0.5,2
368,bge_m3_hybrid_315,1.0,1
370,bge_m3_hybrid_315,1.0,1
372,bge_m3_hybrid_315,1.0,1
374,bge_m3_hybrid_315,0.0,26
375,bge_m3_hybrid_315,1.0,1
376,bge_m3_hybrid_315,0.0,-1
378,bge_m3_hybrid_315,0.0,10
379,bge_m3_hybrid_315,0.5,2
380,bge_m3_hybrid_315,1.0,1
381,bge_m3_hybrid_315,1.0,1
382,bge_m3_hybrid_315,1.0,1
384,bge_m3_hybrid_315,0.0,-1
385,bge_m3_hybrid_315,1.0,1
386,bge_m3_hybrid_315,1.0,1
387,bge_m3_hybrid_315,1.0,1
389,bge_m3_hybrid_315,0.0,24
390,bge_m3_hybrid_315,1.0,1
391,bge_m3_hybrid_315,0.0,-1
392,bge_m3_hybrid_315,0.0,13
393,bge_m3_hybrid_315,1.0,1
394,bge_m3_hybrid_315,0.2,5
396,bge_m3_hybrid_315,1.0,1
397,bge_m3_hybrid_315,0.5,2
398,bge_m3_hybrid_315,1.0,1
399,bge_m3_hybrid_315,1.0,1
400,bge_m3_hybrid_315,0.0,-1
401,bge_m3_hybrid_315,1.0,1
403,bge_m3_hybrid_315,0.0,36
406,bge_m3_hybrid_315,0.0,-1
407,bge_m3_hybrid_315,0.0,-1
408,bge_m3_hybrid_315,0.0,10
409,bge_m3_hybrid_315,1.0,1
410,bge_m3_hybrid_315,1.0,1
412,bge_m3_hybrid_315,0.0,-1
413,bge_m3_hybrid_315,0.5,2
414,bge_m3_hybrid_315,1.0,1
415,bge_m3_hybrid_315,1.0,1
416,bge_m3_hybrid_315,1.0,1
417,bge_m3_hybrid_315,0.0,-1
418,bge_m3_hybrid_315,0.0,-1
419,bge_m3_hybrid_315,1.0,1
420,bge_m3_hybrid_315,0.0,-1
421,bge_m3_hybrid_315,1.0,1
422,bge_m3_hybrid_315,1.0,1
423,bge_m3_hybrid_315,1.0,1
424,bge_m3_hybrid_315,0.0,-1
426,bge_m3_hybrid_315,1.0,1
427,bge_m3_hybrid_315,1.0,1
428,bge_m3_hybrid_315,1.0,1
429,bge_m3_hybrid_315,1.0,1
430,bge_m3_hybrid_315,0.0,-1
432,bge_m3_hybrid_315,0.0,-1
433,bge_m3_hybrid_315,0.0,6
436,bge_m3_hybrid_315,1.0,1
438,bge_m3_hybrid_315,0.0,-1
439,bge_m3_hybrid_315,0.0,30
440,bge_m3_hybrid_315,1.0,1
441,bge_m3_hybrid_315,0.0,-1
442,bge_m3_hybrid_315,0.0,-1
443,bge_m3_hybrid_315,1.0,1
444,bge_m3_hybrid_315,1.0,1
445,bge_m3_hybrid_315,1.0,1
446,bge_m3_hybrid_315,0.0,28
447,bge_m3_hybrid_315,1.0,1
449,bge_m3_hybrid_315,0.5,2
450,bge_m3_hybrid_315,1.0,1
451,bge_m3_hybrid_315,0.0,36
452,bge_m3_hybrid_315,1.0,1
453,bge_m3_hybrid_315,1.0,1
454,bge_m3_hybrid_315,1.0,1
455,bge_m3_hybrid_315,1.0,1
456,bge_m3_hybrid_315,0.0,-1
457,bge_m3_hybrid_315,1.0,1
458,bge_m3_hybrid_315,1.0,1
459,bge_m3_hybrid_315,1.0,1
460,bge_m3_hybrid_315,0.5,2
461,bge_m3_hybrid_315,0.0,-1
463,bge_m3_hybrid_315,1.0,1
464,bge_m3_hybrid_315,1.0,1
465,bge_m3_hybrid_315,0.0,-1
466,bge_m3_hybrid_315,1.0,1
467,bge_m3_hybrid_315,1.0,1
468,bge_m3_hybrid_315,1.0,1
471,bge_m3_hybrid_315,0.0,42
472,bge_m3_hybrid_315,1.0,1
473,bge_m3_hybrid_315,1.0,1
474,bge_m3_hybrid_315,1.0,1
475,bge_m3_hybrid_315,1.0,1
476,bge_m3_hybrid_315,1.0,1
478,bge_m3_hybrid_315,0.5,2
479,bge_m3_hybrid_315,0.0,-1
481,bge_m3_hybrid_315,1.0,1
482,bge_m3_hybrid_315,0.5,2
483,bge_m3_hybrid_315,1.0,1
484,bge_m3_hybrid_315,1.0,1
485,bge_m3_hybrid_315,1.0,1
486,bge_m3_hybrid_315,1.0,1
487,bge_m3_hybrid_315,0.5,2
489,bge_m3_hybrid_315,1.0,1
490,bge_m3_hybrid_315,0.5,2
491,bge_m3_hybrid_315,1.0,1
492,bge_m3_hybrid_315,1.0,1
493,bge_m3_hybrid_315,1.0,1
494,bge_m3_hybrid_315,0.0,-1
496,bge_m3_hybrid_315,0.0,12
497,bge_m3_hybrid_315,0.25,4
498,bge_m3_hybrid_315,1.0,1
499,bge_m3_hybrid_315,0.5,2
500,bge_m3_hybrid_315,1.0,1
501,bge_m3_hybrid_315,1.0,1
502,bge_m3_hybrid_315,1.0,1
503,bge_m3_hybrid_315,1.0,1
504,bge_m3_hybrid_315,0.0,-1
505,bge_m3_hybrid_315,0.0,86
507,bge_m3_hybrid_315,0.5,2
508,bge_m3_hybrid_315,0.0,-1
509,bge_m3_hybrid_315,0.0,95
510,bge_m3_hybrid_315,0.0,43
512,bge_m3_hybrid_315,1.0,1
513,bge_m3_hybrid_315,1.0,1
514,bge_m3_hybrid_315,0.5,2
515,bge_m3_hybrid_315,1.0,1
516,bge_m3_hybrid_315,1.0,1
517,bge_m3_hybrid_315,0.0,63
518,bge_m3_hybrid_315,0.0,27
519,bge_m3_hybrid_315,1.0,1
520,bge_m3_hybrid_315,1.0,1
521,bge_m3_hybrid_315,0.5,2
522,bge_m3_hybrid_315,1.0,1
523,bge_m3_hybrid_315,0.3333333333333333,3
525,bge_m3_hybrid_315,1.0,1
526,bge_m3_hybrid_315,0.0,-1
527,bge_m3_hybrid_315,0.0,43
528,bge_m3_hybrid_315,0.0,8
529,bge_m3_hybrid_315,1.0,1
530,bge_m3_hybrid_315,1.0,1
531,bge_m3_hybrid_315,1.0,1
532,bge_m3_hybrid_315,1.0,1
533,bge_m3_hybrid_315,1.0,1
534,bge_m3_hybrid_315,0.0,56
536,bge_m3_hybrid_315,0.0,16
537,bge_m3_hybrid_315,1.0,1
538,bge_m3_hybrid_315,0.0,-1
539,bge_m3_hybrid_315,0.0,-1
540,bge_m3_hybrid_315,1.0,1
541,bge_m3_hybrid_315,1.0,1
542,bge_m3_hybrid_315,0.0,-1
543,bge_m3_hybrid_315,0.0,-1
545,bge_m3_hybrid_315,1.0,1
546,bge_m3_hybrid_315,0.0,27
547,bge_m3_hybrid_315,1.0,1
548,bge_m3_hybrid_315,0.5,2
549,bge_m3_hybrid_315,1.0,1
551,bge_m3_hybrid_315,1.0,1
552,bge_m3_hybrid_315,0.0,-1
553,bge_m3_hybrid_315,1.0,1
557,bge_m3_hybrid_315,1.0,1
558,bge_m3_hybrid_315,0.25,4
559,bge_m3_hybrid_315,1.0,1
560,bge_m3_hybrid_315,1.0,1
561,bge_m3_hybrid_315,0.3333333333333333,3
563,bge_m3_hybrid_315,1.0,1
564,bge_m3_hybrid_315,0.0,6
565,bge_m3_hybrid_315,1.0,1
566,bge_m3_hybrid_315,0.2,5
567,bge_m3_hybrid_315,0.0,-1
568,bge_m3_hybrid_315,0.0,30
569,bge_m3_hybrid_315,0.3333333333333333,3
570,bge_m3_hybrid_315,0.0,11
571,bge_m3_hybrid_315,1.0,1
573,bge_m3_hybrid_315,1.0,1
574,bge_m3_hybrid_315,1.0,1
575,bge_m3_hybrid_315,0.3333333333333333,3
576,bge_m3_hybrid_315,1.0,1
577,bge_m3_hybrid_315,0.0,7
578,bge_m3_hybrid_315,0.0,6
579,bge_m3_hybrid_315,0.0,-1
580,bge_m3_hybrid_315,0.0,-1
581,bge_m3_hybrid_315,0.0,-1
582,bge_m3_hybrid_315,1.0,1
583,bge_m3_hybrid_315,1.0,1
584,bge_m3_hybrid_315,1.0,1
585,bge_m3_hybrid_315,0.0,15
586,bge_m3_hybrid_315,1.0,1
588,bge_m3_hybrid_315,0.0,-1
590,bge_m3_hybrid_315,1.0,1
592,bge_m3_hybrid_315,0.0,-1
593,bge_m3_hybrid_315,1.0,1
594,bge_m3_hybrid_315,1.0,1
595,bge_m3_hybrid_315,0.0,93
599,bge_m3_hybrid_315,1.0,1
600,bge_m3_hybrid_315,0.0,10
601,bge_m3_hybrid_315,1.0,1
602,bge_m3_hybrid_315,0.0,-1
603,bge_m3_hybrid_315,1.0,1
604,bge_m3_hybrid_315,0.0,32
605,bge_m3_hybrid_315,0.0,-1
606,bge_m3_hybrid_315,0.0,-1
607,bge_m3_hybrid_315,0.0,-1
608,bge_m3_hybrid_315,0.0,-1
609,bge_m3_hybrid_315,1.0,1
610,bge_m3_hybrid_315,1.0,1
611,bge_m3_hybrid_315,1.0,1
613,bge_m3_hybrid_315,0.0,89
614,bge_m3_hybrid_315,0.0,-1
615,bge_m3_hybrid_315,0.0,8
616,bge_m3_hybrid_315,0.0,-1
617,bge_m3_hybrid_315,0.0,-1
618,bge_m3_hybrid_315,0.0,-1
619,bge_m3_hybrid_315,0.0,-1
620,bge_m3_hybrid_315,0.0,-1
621,bge_m3_hybrid_315,1.0,1
624,bge_m3_hybrid_315,0.5,2
626,bge_m3_hybrid_315,0.5,2
627,bge_m3_hybrid_315,0.5,2
630,bge_m3_hybrid_315,1.0,1
631,bge_m3_hybrid_315,1.0,1
633,bge_m3_hybrid_315,1.0,1
635,bge_m3_hybrid_315,1.0,1
636,bge_m3_hybrid_315,1.0,1
638,bge_m3_hybrid_315,0.0,-1
639,bge_m3_hybrid_315,1.0,1
640,bge_m3_hybrid_315,0.0,-1
641,bge_m3_hybrid_315,1.0,1
642,bge_m3_hybrid_315,0.0,-1
643,bge_m3_hybrid_315,0.0,18
646,bge_m3_hybrid_315,1.0,1
647,bge_m3_hybrid_315,0.5,2
648,bge_m3_hybrid_315,1.0,1
649,bge_m3_hybrid_315,1.0,1
650,bge_m3_hybrid_315,0.5,2
651,bge_m3_hybrid_315,1.0,1
652,bge_m3_hybrid_315,1.0,1
653,bge_m3_hybrid_315,0.3333333333333333,3
654,bge_m3_hybrid_315,0.5,2
655,bge_m3_hybrid_315,1.0,1
656,bge_m3_hybrid_315,0.0,8
657,bge_m3_hybrid_315,0.3333333333333333,3
659,bge_m3_hybrid_315,1.0,1
661,bge_m3_hybrid_315,1.0,1
662,bge_m3_hybrid_315,1.0,1
663,bge_m3_hybrid_315,0.0,95
664,bge_m3_hybrid_315,1.0,1
667,bge_m3_hybrid_315,1.0,1
668,bge_m3_hybrid_315,0.0,-1
669,bge_m3_hybrid_315,1.0,1
673,bge_m3_hybrid_315,0.0,73
674,bge_m3_hybrid_315,0.0,-1
675,bge_m3_hybrid_315,1.0,1
676,bge_m3_hybrid_315,1.0,1
677,bge_m3_hybrid_315,0.0,-1
678,bge_m3_hybrid_315,0.0,18
680,bge_m3_hybrid_315,1.0,1
681,bge_m3_hybrid_315,0.0,-1
682,bge_m3_hybrid_315,1.0,1
683,bge_m3_hybrid_315,0.3333333333333333,3
684,bge_m3_hybrid_315,1.0,1
685,bge_m3_hybrid_315,1.0,1
686,bge_m3_hybrid_315,1.0,1
689,bge_m3_hybrid_315,1.0,1
690,bge_m3_hybrid_315,0.0,67
691,bge_m3_hybrid_315,0.5,2
692,bge_m3_hybrid_315,1.0,1
693,bge_m3_hybrid_315,0.25,4
695,bge_m3_hybrid_315,0.3333333333333333,3
696,bge_m3_hybrid_315,0.3333333333333333,3
697,bge_m3_hybrid_315,1.0,1
698,bge_m3_hybrid_315,0.0,-1
700,bge_m3_hybrid_315,1.0,1
702,bge_m3_hybrid_315,1.0,1
703,bge_m3_hybrid_315,0.0,25
704,bge_m3_hybrid_315,0.0,36
705,bge_m3_hybrid_315,1.0,1
706,bge_m3_hybrid_315,1.0,1
709,bge_m3_hybrid_315,0.3333333333333333,3
710,bge_m3_hybrid_315,0.0,26
712,bge_m3_hybrid_315,1.0,1
714,bge_m3_hybrid_315,0.5,2
715,bge_m3_hybrid_315,1.0,1
716,bge_m3_hybrid_315,0.0,6
719,bge_m3_hybrid_315,0.0,40
720,bge_m3_hybrid_315,0.25,4
722,bge_m3_hybrid_315,0.0,12
725,bge_m3_hybrid_315,0.0,10
726,bge_m3_hybrid_315,1.0,1
727,bge_m3_hybrid_315,0.2,5
728,bge_m3_hybrid_315,1.0,1
730,bge_m3_hybrid_315,0.0,-1
731,bge_m3_hybrid_315,0.0,90
732,bge_m3_hybrid_315,1.0,1
733,bge_m3_hybrid_315,0.5,2
734,bge_m3_hybrid_315,0.0,-1
735,bge_m3_hybrid_315,1.0,1
736,bge_m3_hybrid_315,1.0,1
737,bge_m3_hybrid_315,0.0,11
738,bge_m3_hybrid_315,0.0,-1
739,bge_m3_hybrid_315,0.5,2
740,bge_m3_hybrid_315,0.0,-1
742,bge_m3_hybrid_315,1.0,1
743,bge_m3_hybrid_315,0.5,2
744,bge_m3_hybrid_315,0.0,89
745,bge_m3_hybrid_315,0.5,2
747,bge_m3_hybrid_315,0.2,5
748,bge_m3_hybrid_315,1.0,1
749,bge_m3_hybrid_315,0.0,-1
751,bge_m3_hybrid_315,0.0,84
752,bge_m3_hybrid_315,1.0,1
755,bge_m3_hybrid_315,1.0,1
756,bge_m3_hybrid_315,0.0,-1
757,bge_m3_hybrid_315,0.2,5
758,bge_m3_hybrid_315,1.0,1
760,bge_m3_hybrid_315,1.0,1
761,bge_m3_hybrid_315,0.5,2
762,bge_m3_hybrid_315,0.5,2
763,bge_m3_hybrid_315,1.0,1
765,bge_m3_hybrid_315,1.0,1
766,bge_m3_hybrid_315,1.0,1
767,bge_m3_hybrid_315,1.0,1
769,bge_m3_hybrid_315,1.0,1
770,bge_m3_hybrid_315,0.5,2
771,bge_m3_hybrid_315,0.0,14
772,bge_m3_hybrid_315,0.5,2
773,bge_m3_hybrid_315,1.0,1
774,bge_m3_hybrid_315,1.0,1
775,bge_m3_hybrid_315,0.0,75
776,bge_m3_hybrid_315,0.25,4
777,bge_m3_hybrid_315,1.0,1
779,bge_m3_hybrid_315,0.0,6
780,bge_m3_hybrid_315,1.0,1
781,bge_m3_hybrid_315,0.0,-1
782,bge_m3_hybrid_315,1.0,1
784,bge_m3_hybrid_315,0.0,-1
785,bge_m3_hybrid_315,1.0,1
786,bge_m3_hybrid_315,1.0,1
787,bge_m3_hybrid_315,0.3333333333333333,3
788,bge_m3_hybrid_315,1.0,1
789,bge_m3_hybrid_315,1.0,1
790,bge_m3_hybrid_315,1.0,1
791,bge_m3_hybrid_315,0.5,2
793,bge_m3_hybrid_315,1.0,1
794,bge_m3_hybrid_315,0.0,58
796,bge_m3_hybrid_315,0.0,35
797,bge_m3_hybrid_315,1.0,1
798,bge_m3_hybrid_315,1.0,1
799,bge_m3_hybrid_315,1.0,1
801,bge_m3_hybrid_315,0.3333333333333333,3
803,bge_m3_hybrid_315,0.0,17
804,bge_m3_hybrid_315,0.0,-1
805,bge_m3_hybrid_315,0.0,6
807,bge_m3_hybrid_315,1.0,1
808,bge_m3_hybrid_315,0.0,-1
809,bge_m3_hybrid_315,0.3333333333333333,3
810,bge_m3_hybrid_315,1.0,1
811,bge_m3_hybrid_315,1.0,1
812,bge_m3_hybrid_315,1.0,1
813,bge_m3_hybrid_315,1.0,1
814,bge_m3_hybrid_315,0.25,4
815,bge_m3_hybrid_315,0.2,5
816,bge_m3_hybrid_315,1.0,1
817,bge_m3_hybrid_315,0.0,-1
819,bge_m3_hybrid_315,0.0,-1
820,bge_m3_hybrid_315,1.0,1
821,bge_m3_hybrid_315,0.0,-1
822,bge_m3_hybrid_315,0.0,17
823,bge_m3_hybrid_315,0.0,31
824,bge_m3_hybrid_315,0.0,18
825,bge_m3_hybrid_315,1.0,1
826,bge_m3_hybrid_315,1.0,1
827,bge_m3_hybrid_315,0.25,4
828,bge_m3_hybrid_315,0.0,16
831,bge_m3_hybrid_315,1.0,1
832,bge_m3_hybrid_315,1.0,1
833,bge_m3_hybrid_315,0.0,-1
834,bge_m3_hybrid_315,0.0,-1
835,bge_m3_hybrid_315,1.0,1
836,bge_m3_hybrid_315,0.3333333333333333,3
837,bge_m3_hybrid_315,0.0,-1
839,bge_m3_hybrid_315,0.0,20
